tract,num_alpr_cameras,median_income,state_x,county_x,total_road_length_m,crime_count,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
025100,3,151429.0,06,075,20840.321724727033,4402,3384.0,1831.0,174.0,390.0,809.0,06,075,0.5410756501182034,0.051418439716312055,0.11524822695035461,0.2390661938534279
025300,2,156741.0,06,075,10724.846751033176,5371,4441.0,1986.0,32.0,670.0,1410.0,06,075,0.4471965773474443,0.007205584327854087,0.15086692186444495,0.3174960594460707
025401,1,154583.0,06,075,8392.944103390193,2342,3781.0,1973.0,83.0,168.0,1045.0,06,075,0.5218196244379794,0.021951864586088336,0.04443268976461254,0.27638190954773867
025402,3,167300.0,06,075,9057.312064466347,1454,3522.0,1084.0,177.0,699.0,1456.0,06,075,0.3077796706416809,0.05025553662691652,0.19846678023850084,0.4134014764338444
025403,2,146354.0,06,075,14100.695183858299,2105,4692.0,1101.0,299.0,1380.0,1730.0,06,075,0.23465473145780052,0.06372549019607843,0.29411764705882354,0.36871270247229326
025501,1,126821.0,06,075,12907.642094531662,2545,4443.0,792.0,176.0,1604.0,1538.0,06,075,0.17825793382849425,0.03961287418410984,0.36101733063245556,0.3461625028134144
025502,3,166486.0,06,075,18801.598838767735,2587,4428.0,1193.0,108.0,1638.0,1163.0,06,075,0.26942186088527553,0.024390243902439025,0.3699186991869919,0.262646793134598
025600,2,115000.0,06,075,15384.508968943293,2276,5158.0,783.0,27.0,2954.0,1233.0,06,075,0.1518030244280729,0.0052345870492438926,0.5727025979061652,0.2390461419154711
025702,1,97717.0,06,075,18529.375120753488,5275,3979.0,552.0,3.0,2391.0,862.0,06,075,0.13872832369942195,0.0007539582809751194,0.6009047499371701,0.21663734606685098
025800,1,80682.0,06,075,9123.754889634904,1236,2153.0,183.0,175.0,1512.0,187.0,06,075,0.08499767765908035,0.08128193218764515,0.702275894101254,0.08685555039479796
026100,2,108544.0,06,075,19110.892723041277,4923,7566.0,475.0,24.0,5160.0,1627.0,06,075,0.06278086174993391,0.0031720856463124504,0.6819984139571769,0.21504097277293155
026201,3,115417.0,06,075,13037.948191870493,1568,3825.0,136.0,38.0,2382.0,1141.0,06,075,0.035555555555555556,0.009934640522875817,0.6227450980392157,0.29830065359477126
026302,1,87228.0,06,075,12450.241165277092,1572,5142.0,540.0,205.0,2905.0,1344.0,06,075,0.10501750291715285,0.03986775573706729,0.5649552703228315,0.2613768961493582
026402,2,115117.0,06,075,9912.40224295951,1710,5056.0,1026.0,338.0,2457.0,932.0,06,075,0.20292721518987342,0.0668512658227848,0.48595727848101267,0.1843354430379747
026403,1,74792.0,06,075,6632.609118986133,1858,3801.0,189.0,95.0,2544.0,946.0,06,075,0.049723756906077346,0.024993422783478034,0.6692975532754538,0.24888187319126545
026404,1,76000.0,06,075,3545.031787776021,1035,2760.0,93.0,299.0,1336.0,871.0,06,075,0.03369565217391304,0.10833333333333334,0.48405797101449277,0.3155797101449275
030102,2,183272.0,06,075,20290.488111853032,1655,4731.0,2899.0,101.0,1051.0,365.0,06,075,0.6127668569012894,0.02134855210314944,0.22215176495455508,0.07715070809554006
030202,3,121831.0,06,075,7119.429203993822,3761,4013.0,1981.0,124.0,1223.0,396.0,06,075,0.49364565163219537,0.03089957637677548,0.3047595315225517,0.09867929230002492
030302,1,176364.0,06,075,14300.103839272702,1315,3928.0,1460.0,178.0,1573.0,341.0,06,075,0.37169042769857435,0.04531568228105906,0.4004582484725051,0.08681262729124237
030400,1,127632.0,06,075,21019.810022438065,2255,5088.0,2130.0,77.0,2240.0,339.0,06,075,0.4186320754716981,0.015133647798742138,0.44025157232704404,0.06662735849056604
