total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
3522.0,1084.0,177.0,699.0,1456.0,06,075,025402,06075025402
4692.0,1101.0,299.0,1380.0,1730.0,06,075,025403,06075025403
4443.0,792.0,176.0,1604.0,1538.0,06,075,025501,06075025501
4428.0,1193.0,108.0,1638.0,1163.0,06,075,025502,06075025502
5158.0,783.0,27.0,2954.0,1233.0,06,075,025600,06075025600
5424.0,479.0,36.0,3468.0,1384.0,06,075,025701,06075025701
3979.0,552.0,3.0,2391.0,862.0,06,075,025702,06075025702
2153.0,183.0,175.0,1512.0,187.0,06,075,025800,06075025800
4409.0,1016.0,215.0,1910.0,1146.0,06,075,025900,06075025900
6463.0,716.0,76.0,3138.0,2295.0,06,075,026001,06075026001
3660.0,846.0,132.0,1647.0,839.0,06,075,026002,06075026002
5085.0,816.0,2.0,2304.0,1848.0,06,075,026003,06075026003
4107.0,607.0,37.0,1523.0,1748.0,06,075,026004,06075026004
7566.0,475.0,24.0,5160.0,1627.0,06,075,026100,06075026100
3825.0,136.0,38.0,2382.0,1141.0,06,075,026201,06075026201
3839.0,336.0,6.0,2290.0,1123.0,06,075,026202,06075026202
5724.0,687.0,67.0,3262.0,1555.0,06,075,026301,06075026301
5142.0,540.0,205.0,2905.0,1344.0,06,075,026302,06075026302
4818.0,670.0,42.0,2421.0,1574.0,06,075,026303,06075026303
3444.0,194.0,192.0,2372.0,448.0,06,075,026401,06075026401
5056.0,1026.0,338.0,2457.0,932.0,06,075,026402,06075026402
3801.0,189.0,95.0,2544.0,946.0,06,075,026403,06075026403
2760.0,93.0,299.0,1336.0,871.0,06,075,026404,06075026404
5062.0,2587.0,62.0,1603.0,517.0,06,075,030101,06075030101
4731.0,2899.0,101.0,1051.0,365.0,06,075,030102,06075030102
4262.0,1829.0,71.0,1275.0,683.0,06,075,030201,06075030201
4013.0,1981.0,124.0,1223.0,396.0,06,075,030202,06075030202
6074.0,2434.0,93.0,2677.0,393.0,06,075,030301,06075030301
3928.0,1460.0,178.0,1573.0,341.0,06,075,030302,06075030302
5088.0,2130.0,77.0,2240.0,339.0,06,075,030400,06075030400
3676.0,1615.0,349.0,996.0,569.0,06,075,030500,06075030500
2514.0,1204.0,37.0,723.0,223.0,06,075,030600,06075030600
6959.0,3417.0,245.0,2175.0,617.0,06,075,030700,06075030700
6041.0,3817.0,76.0,1594.0,297.0,06,075,030800,06075030800
6767.0,2803.0,67.0,2458.0,649.0,06,075,030900,06075030900
4089.0,1428.0,129.0,1518.0,539.0,06,075,031000,06075031000
6295.0,2580.0,142.0,2116.0,1063.0,06,075,031100,06075031100
6522.0,802.0,212.0,4103.0,1307.0,06,075,031201,06075031201
3239.0,154.0,212.0,2278.0,397.0,06,075,031202,06075031202
3866.0,867.0,420.0,2138.0,274.0,06,075,031301,06075031301
5503.0,741.0,668.0,2944.0,841.0,06,075,031302,06075031302
2378.0,243.0,127.0,1259.0,597.0,06,075,031401,06075031401
4788.0,760.0,500.0,1945.0,1415.0,06,075,031402,06075031402
4874.0,1498.0,165.0,2256.0,613.0,06,075,032601,06075032601
4505.0,1336.0,149.0,2484.0,285.0,06,075,032602,06075032602
6932.0,2737.0,29.0,3162.0,475.0,06,075,032700,06075032700
4042.0,949.0,98.0,2698.0,160.0,06,075,032801,06075032801
4624.0,1276.0,8.0,2739.0,349.0,06,075,032802,06075032802
5360.0,1061.0,12.0,3581.0,197.0,06,075,032901,06075032901
4103.0,870.0,14.0,3034.0,128.0,06,075,032902,06075032902
4200.0,1074.0,81.0,2458.0,437.0,06,075,033001,06075033001
4227.0,1689.0,0.0,1911.0,384.0,06,075,033002,06075033002
3948.0,1229.0,49.0,2107.0,203.0,06,075,033100,06075033100
4262.0,1216.0,445.0,1010.0,1340.0,06,075,033201,06075033201
3320.0,1047.0,155.0,1273.0,573.0,06,075,033203,06075033203
4402.0,1213.0,427.0,1537.0,952.0,06,075,033204,06075033204
4035.0,1626.0,115.0,1235.0,789.0,06,075,035101,06075035101
4760.0,1222.0,51.0,2902.0,33.0,06,075,035102,06075035102
5497.0,1601.0,48.0,3008.0,507.0,06,075,035201,06075035201
4796.0,1744.0,105.0,1694.0,758.0,06,075,035202,06075035202
7537.0,2051.0,8.0,4881.0,523.0,06,075,035300,06075035300
7769.0,2872.0,71.0,2901.0,568.0,06,075,035400,06075035400
4342.0,1909.0,19.0,1378.0,731.0,06,075,040100,06075040100
5460.0,2447.0,70.0,2213.0,439.0,06,075,040200,06075040200
4261.0,1715.0,161.0,1580.0,273.0,06,075,042601,06075042601
2615.0,1200.0,7.0,1104.0,130.0,06,075,042602,06075042602
