tract,num_alpr_cameras,median_income,state_x,county_x,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state_y,county_y,white_pct,black_pct,asian_pct,hispanic_pct
000nan,19202,,,,,,,,,,,,,,
502800,1,181083.0,06,085,4459.0,2074.0,30.0,994.0,1045.0,06,085,0.4651267100246692,0.006727965911639381,0.22291993720565148,0.23435747925543843
502902,4,162826.0,06,085,9412.0,5802.0,52.0,1889.0,1274.0,06,085,0.6164470888227794,0.0055248618784530384,0.20070123246918828,0.13535911602209943
502903,2,168750.0,06,085,5239.0,3105.0,0.0,925.0,830.0,06,085,0.592670356938347,0.0,0.17656041229242223,0.15842718075968695
502906,1,112277.0,06,085,4993.0,2210.0,146.0,1445.0,826.0,06,085,0.44261966753454834,0.029240937312237134,0.2894051672341278,0.16543160424594433
502908,3,119760.0,06,085,6590.0,3294.0,0.0,1120.0,1893.0,06,085,0.4998482549317147,0.0,0.16995447647951442,0.28725341426403644
502909,1,106116.0,06,085,4896.0,1952.0,39.0,975.0,1683.0,06,085,0.39869281045751637,0.007965686274509803,0.19914215686274508,0.34375
503003,1,169375.0,06,085,4915.0,2978.0,25.0,813.0,879.0,06,085,0.6059003051881994,0.00508646998982706,0.165412004069176,0.17884028484231942
503105,1,52734.0,06,085,2248.0,95.0,0.0,1318.0,813.0,06,085,0.04225978647686833,0.0,0.5862989323843416,0.36165480427046265
503110,1,69405.0,06,085,4184.0,127.0,44.0,1145.0,2771.0,06,085,0.03035372848948375,0.010516252390057362,0.2736615678776291,0.6622848948374761
503111,1,110875.0,06,085,5620.0,223.0,152.0,2481.0,2672.0,06,085,0.039679715302491106,0.02704626334519573,0.4414590747330961,0.47544483985765124
503112,4,60565.0,06,085,4077.0,528.0,254.0,727.0,2494.0,06,085,0.12950699043414277,0.06230071130733383,0.17831739023792004,0.6117243070885455
503113,2,86541.0,06,085,4910.0,604.0,68.0,340.0,3862.0,06,085,0.1230142566191446,0.01384928716904277,0.06924643584521385,0.7865580448065174
503116,1,122833.0,06,085,6687.0,1897.0,454.0,2165.0,1954.0,06,085,0.28368476147749366,0.06789292657394945,0.3237625243008823,0.29220876327202033
503117,2,80066.0,06,085,3088.0,51.0,26.0,1299.0,1708.0,06,085,0.016515544041450777,0.008419689119170985,0.420660621761658,0.5531088082901554
503118,3,87750.0,06,085,4727.0,602.0,109.0,1698.0,2105.0,06,085,0.12735350116352867,0.023059022635921304,0.3592130315210493,0.44531415273958114
503121,3,58673.0,06,085,5196.0,484.0,232.0,864.0,3417.0,06,085,0.09314857582755966,0.044649730561970746,0.16628175519630484,0.6576212471131639
503122,6,51081.0,06,085,3547.0,133.0,160.0,1871.0,1252.0,06,085,0.03749647589512264,0.04510854243022272,0.5274880180434169,0.3529743445164928
503123,2,53287.0,06,085,3744.0,906.0,205.0,587.0,1854.0,06,085,0.2419871794871795,0.054754273504273504,0.15678418803418803,0.4951923076923077
503124,2,94016.0,06,085,5884.0,778.0,770.0,2041.0,1927.0,06,085,0.13222297756628143,0.13086335825968728,0.34687287559483343,0.32749830047586675
503126,2,148854.0,06,085,3778.0,722.0,89.0,1741.0,1111.0,06,085,0.1911064055055585,0.023557437797776602,0.46082583377448383,0.2940709370037057
503127,2,155568.0,06,085,4302.0,1285.0,201.0,1837.0,751.0,06,085,0.298698279869828,0.046722454672245464,0.4270106927010693,0.17456996745699674
503207,2,110179.0,06,085,3720.0,253.0,196.0,2711.0,484.0,06,085,0.06801075268817204,0.05268817204301075,0.728763440860215,0.13010752688172042
503210,1,103028.0,06,085,4520.0,215.0,153.0,1806.0,2212.0,06,085,0.04756637168141593,0.033849557522123895,0.3995575221238938,0.4893805309734513
503211,2,114464.0,06,085,4484.0,505.0,122.0,2267.0,1443.0,06,085,0.11262265834076718,0.027207850133809098,0.5055753791257805,0.3218108831400535
503212,1,104500.0,06,085,4440.0,197.0,170.0,2886.0,1060.0,06,085,0.04436936936936937,0.038288288288288286,0.65,0.23873873873873874
503213,2,70833.0,06,085,5197.0,136.0,14.0,3169.0,1819.0,06,085,0.026168943621319992,0.0026938618433711755,0.6097748701173754,0.3500096209351549
503217,2,71450.0,06,085,4377.0,135.0,23.0,932.0,3229.0,06,085,0.030843043180260453,0.0052547406899703,0.21293123143705733,0.737719899474526
503219,1,65143.0,06,085,2871.0,27.0,159.0,898.0,1777.0,06,085,0.009404388714733543,0.055381400208986416,0.31278300243817486,0.6189481017067224
503220,1,74583.0,06,085,4848.0,373.0,75.0,1242.0,2990.0,06,085,0.07693894389438943,0.01547029702970297,0.2561881188118812,0.6167491749174917
503221,1,43704.0,06,085,2395.0,121.0,0.0,1907.0,367.0,06,085,0.050521920668058454,0.0,0.7962421711899791,0.15323590814196242
503304,2,86962.0,06,085,7084.0,541.0,167.0,3500.0,2740.0,06,085,0.07636928289102202,0.0235742518351214,0.49407114624505927,0.3867871259175607
503305,1,82917.0,06,085,5843.0,236.0,75.0,2813.0,2396.0,06,085,0.04039021050830053,0.012835871983570083,0.4814307718637686,0.41006332363511894
503306,1,102344.0,06,085,4120.0,59.0,15.0,2054.0,1916.0,06,085,0.014320388349514563,0.0036407766990291263,0.49854368932038834,0.4650485436893204
503315,1,141875.0,06,085,8857.0,421.0,60.0,4990.0,3276.0,06,085,0.04753302472620526,0.0067743028113356665,0.5633961838094163,0.3698769334989274
503321,4,150658.0,06,085,4387.0,274.0,31.0,3584.0,451.0,06,085,0.06245726008661956,0.007066332345566446,0.8169591976293594,0.102803738317757
503322,2,99821.0,06,085,4752.0,344.0,157.0,2541.0,1684.0,06,085,0.0723905723905724,0.03303872053872054,0.5347222222222222,0.3543771043771044
503323,1,144304.0,06,085,3855.0,475.0,152.0,2070.0,1039.0,06,085,0.12321660181582361,0.03942931258106355,0.5369649805447471,0.2695201037613489
503325,1,150682.0,06,085,4409.0,334.0,179.0,3023.0,801.0,06,085,0.07575413926060331,0.04059877523247902,0.6856430029485144,0.18167384894533908
