total_pop,white_pop,black_pop,asian_pop,hispanic_pop,state,county,tract,GEOID
2212.0,1156.0,63.0,655.0,185.0,06,001,430400,06001430400
6480.0,1637.0,2273.0,1448.0,962.0,06,001,430500,06001430500
6769.0,2720.0,737.0,2332.0,733.0,06,001,430600,06001430600
4161.0,1613.0,199.0,1269.0,786.0,06,001,430700,06001430700
5652.0,2193.0,31.0,2395.0,757.0,06,001,430800,06001430800
5388.0,1626.0,401.0,1120.0,1661.0,06,001,430900,06001430900
2947.0,806.0,356.0,1115.0,384.0,06,001,431000,06001431000
3361.0,990.0,818.0,408.0,971.0,06,001,431100,06001431100
5966.0,2343.0,762.0,772.0,1711.0,06,001,431200,06001431200
3929.0,1349.0,725.0,468.0,1081.0,06,001,432100,06001432100
4195.0,1058.0,643.0,553.0,1582.0,06,001,432200,06001432200
4864.0,1190.0,557.0,1275.0,1328.0,06,001,432300,06001432300
6603.0,960.0,353.0,1674.0,3122.0,06,001,432400,06001432400
4985.0,972.0,191.0,2145.0,1382.0,06,001,432501,06001432501
5171.0,556.0,773.0,1924.0,1692.0,06,001,432502,06001432502
4082.0,1043.0,696.0,1046.0,1063.0,06,001,432601,06001432601
3031.0,420.0,806.0,732.0,940.0,06,001,432602,06001432602
2815.0,1405.0,155.0,601.0,556.0,06,001,432700,06001432700
4345.0,1325.0,273.0,1440.0,940.0,06,001,432800,06001432800
3871.0,1383.0,258.0,1282.0,653.0,06,001,433000,06001433000
4443.0,387.0,430.0,2393.0,1026.0,06,001,433102,06001433102
3699.0,546.0,560.0,767.0,1606.0,06,001,433103,06001433103
3881.0,1165.0,909.0,212.0,1095.0,06,001,433104,06001433104
8171.0,911.0,707.0,3431.0,2611.0,06,001,433200,06001433200
7690.0,1559.0,46.0,3654.0,2078.0,06,001,433300,06001433300
6174.0,856.0,502.0,3740.0,412.0,06,001,433400,06001433400
4597.0,1153.0,10.0,2481.0,948.0,06,001,433500,06001433500
5945.0,1733.0,323.0,1751.0,1393.0,06,001,433600,06001433600
3376.0,327.0,84.0,657.0,1948.0,06,001,433700,06001433700
3516.0,240.0,378.0,1053.0,1799.0,06,001,433801,06001433801
4425.0,424.0,652.0,1866.0,1272.0,06,001,433802,06001433802
7136.0,714.0,1698.0,949.0,3099.0,06,001,433900,06001433900
5239.0,723.0,621.0,975.0,2776.0,06,001,434000,06001434000
6409.0,1932.0,698.0,1440.0,1736.0,06,001,435102,06001435102
8194.0,2578.0,583.0,3284.0,914.0,06,001,435103,06001435103
6553.0,1003.0,667.0,2371.0,2127.0,06,001,435104,06001435104
4870.0,1109.0,1040.0,1235.0,1191.0,06,001,435200,06001435200
5144.0,1281.0,981.0,933.0,1411.0,06,001,435300,06001435300
5231.0,1252.0,1140.0,958.0,1379.0,06,001,435400,06001435400
4452.0,1159.0,352.0,469.0,2225.0,06,001,435500,06001435500
5136.0,739.0,686.0,846.0,2555.0,06,001,435601,06001435601
5337.0,1297.0,425.0,389.0,3075.0,06,001,435602,06001435602
5172.0,1030.0,280.0,675.0,2731.0,06,001,435700,06001435700
5760.0,1212.0,238.0,1934.0,2184.0,06,001,435800,06001435800
5401.0,1458.0,92.0,2188.0,1475.0,06,001,435900,06001435900
5104.0,1440.0,15.0,1251.0,2131.0,06,001,436000,06001436000
6307.0,1023.0,238.0,2194.0,2313.0,06,001,436100,06001436100
4167.0,359.0,464.0,353.0,2880.0,06,001,436200,06001436200
5825.0,410.0,549.0,1893.0,2697.0,06,001,436301,06001436301
4042.0,572.0,519.0,934.0,1958.0,06,001,436302,06001436302
2741.0,1036.0,474.0,561.0,553.0,06,001,436402,06001436402
4470.0,1275.0,510.0,861.0,1410.0,06,001,436403,06001436403
3181.0,1688.0,527.0,390.0,576.0,06,001,436404,06001436404
5435.0,701.0,552.0,1226.0,2519.0,06,001,436500,06001436500
6620.0,738.0,713.0,1217.0,3599.0,06,001,436601,06001436601
5297.0,506.0,607.0,1158.0,2431.0,06,001,436602,06001436602
3429.0,596.0,275.0,754.0,1660.0,06,001,436700,06001436700
4280.0,522.0,384.0,943.0,2084.0,06,001,436800,06001436800
6750.0,809.0,172.0,1258.0,4109.0,06,001,436900,06001436900
3622.0,717.0,173.0,1060.0,1573.0,06,001,437000,06001437000
7653.0,913.0,712.0,3679.0,1499.0,06,001,437101,06001437101
4438.0,463.0,470.0,1481.0,1622.0,06,001,437102,06001437102
8504.0,1087.0,376.0,3610.0,2535.0,06,001,437200,06001437200
3158.0,524.0,393.0,987.0,1003.0,06,001,437300,06001437300
3629.0,537.0,142.0,852.0,1851.0,06,001,437400,06001437400
4395.0,566.0,210.0,598.0,2689.0,06,001,437500,06001437500
3386.0,455.0,238.0,1548.0,976.0,06,001,437600,06001437600
3675.0,383.0,574.0,677.0,1926.0,06,001,437701,06001437701
3770.0,225.0,283.0,294.0,2775.0,06,001,437702,06001437702
5240.0,912.0,357.0,1552.0,2039.0,06,001,437800,06001437800
2125.0,227.0,200.0,460.0,1024.0,06,001,437900,06001437900
3698.0,884.0,363.0,1419.0,869.0,06,001,438000,06001438000
8131.0,1029.0,479.0,3224.0,3034.0,06,001,438100,06001438100
4761.0,363.0,366.0,936.0,2686.0,06,001,438201,06001438201
4042.0,984.0,119.0,1762.0,884.0,06,001,438203,06001438203
6053.0,782.0,329.0,2255.0,2103.0,06,001,438204,06001438204
3817.0,181.0,337.0,1711.0,1445.0,06,001,438300,06001438300
2654.0,463.0,181.0,1215.0,696.0,06,001,438400,06001438400
2788.0,999.0,91.0,938.0,516.0,06,001,440100,06001440100
5729.0,120.0,150.0,1481.0,3846.0,06,001,440200,06001440200
7116.0,2069.0,381.0,1909.0,2394.0,06,001,440301,06001440301
5014.0,509.0,625.0,3104.0,583.0,06,001,440304,06001440304
4125.0,655.0,51.0,2371.0,815.0,06,001,440305,06001440305
3975.0,320.0,220.0,2685.0,437.0,06,001,440306,06001440306
4813.0,732.0,224.0,2787.0,915.0,06,001,440307,06001440307
5886.0,742.0,193.0,3058.0,1527.0,06,001,440308,06001440308
3099.0,362.0,78.0,1708.0,589.0,06,001,440331,06001440331
3352.0,297.0,55.0,2532.0,327.0,06,001,440332,06001440332
2816.0,264.0,69.0,2219.0,110.0,06,001,440333,06001440333
4165.0,400.0,181.0,3007.0,514.0,06,001,440334,06001440334
3979.0,664.0,311.0,1972.0,606.0,06,001,440336,06001440336
2796.0,311.0,224.0,2053.0,173.0,06,001,440337,06001440337
4133.0,946.0,56.0,2649.0,269.0,06,001,440338,06001440338
4650.0,2039.0,8.0,1579.0,732.0,06,001,441100,06001441100
7029.0,2479.0,166.0,3113.0,957.0,06,001,441200,06001441200
3268.0,789.0,337.0,1622.0,186.0,06,001,441301,06001441301
5802.0,1202.0,125.0,3671.0,517.0,06,001,441302,06001441302
7891.0,1419.0,110.0,5298.0,808.0,06,001,441401,06001441401
5508.0,1039.0,56.0,3619.0,289.0,06,001,441402,06001441402
5937.0,750.0,272.0,4128.0,525.0,06,001,441501,06001441501
