total_pop,white_pop,black_pop,asian_pop,hispanic_pop,median_income,state,county,tract,GEOID,POC_pct
3209.0,848.0,1516.0,163.0,262.0,130595.0,06,001,410000,06001410000,73.57432221875973
3065.0,423.0,1484.0,229.0,663.0,76250.0,06,001,410100,06001410100,86.19902120717782
3284.0,210.0,1653.0,181.0,1095.0,65246.0,06,001,410200,06001410200,93.60535931790498
3788.0,90.0,795.0,89.0,2718.0,53173.0,06,001,410300,06001410300,97.62407602956705
4353.0,211.0,1215.0,360.0,2468.0,93958.0,06,001,410400,06001410400,95.15276820583506
2853.0,603.0,1562.0,274.0,254.0,43346.0,06,001,410500,06001410500,78.86435331230284
2598.0,1331.0,176.0,498.0,325.0,168566.0,06,001,420100,06001420100,48.768283294842185
3275.0,1008.0,208.0,1383.0,256.0,115000.0,06,001,420200,06001420200,69.22137404580153
2730.0,1077.0,37.0,1235.0,251.0,106905.0,06,001,420301,06001420301,60.54945054945055
2493.0,843.0,287.0,778.0,221.0,99250.0,06,001,420302,06001420302,66.18531889290013
1130.0,382.0,12.0,291.0,320.0,64861.0,06,001,420401,06001420401,66.19469026548673
1746.0,671.0,44.0,456.0,455.0,63281.0,06,001,420402,06001420402,61.56930126002291
2429.0,1151.0,46.0,631.0,385.0,112125.0,06,001,420500,06001420500,52.61424454508028
3557.0,2385.0,0.0,436.0,361.0,164688.0,06,001,420600,06001420600,32.94911442226596
2071.0,1612.0,42.0,213.0,121.0,217399.0,06,001,421100,06001421100,22.163206180589086
3553.0,2415.0,23.0,698.0,83.0,250001.0,06,001,421200,06001421200,32.02927103855897
3937.0,2959.0,11.0,464.0,106.0,142109.0,06,001,421300,06001421300,24.841249682499363
1715.0,1325.0,14.0,135.0,165.0,195673.0,06,001,421400,06001421400,22.740524781341108
3920.0,3037.0,83.0,411.0,241.0,187250.0,06,001,421500,06001421500,22.525510204081634
3854.0,2776.0,103.0,476.0,100.0,200507.0,06,001,421600,06001421600,27.970939283860925
3437.0,2382.0,28.0,638.0,290.0,100509.0,06,001,421700,06001421700,30.69537387256328
2180.0,1467.0,18.0,341.0,123.0,157770.0,06,001,421800,06001421800,32.706422018348626
4173.0,2079.0,545.0,725.0,418.0,129196.0,06,001,421900,06001421900,50.179726815240834
2205.0,1212.0,104.0,377.0,160.0,127917.0,06,001,422000,06001422000,45.034013605442176
3172.0,1547.0,325.0,449.0,612.0,115972.0,06,001,422100,06001422100,51.229508196721305
3039.0,1873.0,160.0,359.0,377.0,97361.0,06,001,422200,06001422200,38.367884172425136
3333.0,1842.0,194.0,764.0,253.0,93750.0,06,001,422300,06001422300,44.73447344734473
4425.0,1613.0,120.0,1747.0,670.0,64177.0,06,001,422400,06001422400,63.548022598870055
4382.0,1902.0,206.0,1415.0,578.0,52917.0,06,001,422500,06001422500,56.59516202647193
5015.0,1950.0,161.0,1745.0,788.0,37500.0,06,001,422700,06001422700,61.11665004985045
9577.0,2694.0,543.0,3727.0,1883.0,25243.0,06,001,422800,06001422800,71.8701054610003
2085.0,781.0,0.0,1070.0,87.0,46484.0,06,001,422901,06001422901,62.54196642685851
2695.0,1096.0,302.0,738.0,123.0,-666666666.0,06,001,422902,06001422902,59.33209647495362
4814.0,2963.0,103.0,1193.0,345.0,84132.0,06,001,423000,06001423000,38.45035313668467
4299.0,1791.0,1140.0,567.0,428.0,72328.0,06,001,423100,06001423100,58.33914863921842
2819.0,940.0,578.0,321.0,818.0,76154.0,06,001,423200,06001423200,66.65484214260377
3255.0,1526.0,585.0,234.0,471.0,83542.0,06,001,423300,06001423300,53.118279569892465
5257.0,2611.0,815.0,513.0,975.0,92292.0,06,001,423400,06001423400,50.33288948069241
3397.0,1809.0,396.0,414.0,601.0,81471.0,06,001,423500,06001423500,46.74712982042979
2482.0,1814.0,83.0,282.0,127.0,133208.0,06,001,423601,06001423601,26.913779210314264
6599.0,3346.0,82.0,2025.0,660.0,63016.0,06,001,423602,06001423602,49.29534777996666
3921.0,2333.0,161.0,549.0,666.0,87250.0,06,001,423700,06001423700,40.49987248150982
3235.0,2462.0,57.0,315.0,160.0,189138.0,06,001,423800,06001423800,23.894899536321486
2130.0,1244.0,206.0,150.0,347.0,122500.0,06,001,423901,06001423901,41.5962441314554
1438.0,1070.0,37.0,148.0,121.0,161667.0,06,001,423902,06001423902,25.591098748261476
3593.0,1717.0,588.0,485.0,658.0,90938.0,06,001,424001,06001424001,52.21263568048984
2580.0,855.0,784.0,250.0,565.0,90380.0,06,001,424002,06001424002,66.86046511627907
1732.0,873.0,75.0,396.0,225.0,85341.0,06,001,425101,06001425101,49.59584295612009
4073.0,1306.0,484.0,1535.0,420.0,117396.0,06,001,425102,06001425102,67.93518291185859
3024.0,1098.0,680.0,879.0,211.0,109784.0,06,001,425103,06001425103,63.69047619047619
3918.0,1443.0,1002.0,893.0,359.0,106750.0,06,001,425104,06001425104,63.16998468606432
6497.0,4610.0,0.0,1533.0,155.0,250001.0,06,001,426100,06001426100,29.044174234261966
4871.0,3429.0,159.0,812.0,204.0,236917.0,06,001,426200,06001426200,29.603777458427427
4389.0,2389.0,32.0,846.0,818.0,170352.0,06,001,427100,06001427100,45.5684666210982
4418.0,1459.0,190.0,1764.0,700.0,88036.0,06,001,427200,06001427200,66.97600724309642
5036.0,1665.0,764.0,1786.0,482.0,106389.0,06,001,427300,06001427300,66.93804606830818
4861.0,1459.0,524.0,1905.0,714.0,83781.0,06,001,427600,06001427600,69.98559967084962
5139.0,2979.0,122.0,1130.0,616.0,117885.0,06,001,427700,06001427700,42.03152364273205
4268.0,2125.0,263.0,1104.0,321.0,95417.0,06,001,427800,06001427800,50.21087160262419
4893.0,2535.0,11.0,1408.0,641.0,101911.0,06,001,427900,06001427900,48.19129368485592
2975.0,1014.0,200.0,826.0,480.0,86134.0,06,001,428000,06001428000,65.91596638655463
4812.0,2363.0,325.0,1160.0,480.0,121250.0,06,001,428100,06001428100,50.89359933499584
6947.0,3384.0,312.0,1622.0,840.0,92212.0,06,001,428200,06001428200,51.28832589607024
7384.0,2523.0,355.0,3175.0,729.0,178234.0,06,001,428301,06001428301,65.83152762730228
7348.0,3229.0,97.0,2962.0,491.0,206771.0,06,001,428302,06001428302,56.05606967882417
4593.0,1815.0,449.0,891.0,946.0,86822.0,06,001,428400,06001428400,60.483344219464406
3154.0,1355.0,204.0,875.0,487.0,114688.0,06,001,428500,06001428500,57.03868103994927
3475.0,1574.0,205.0,977.0,364.0,104049.0,06,001,428600,06001428600,54.705035971223026
4628.0,1090.0,657.0,1831.0,613.0,95395.0,06,001,428700,06001428700,76.44770959377702
6951.0,2329.0,460.0,3284.0,661.0,183895.0,06,001,430101,06001430101,66.49402963602358
2539.0,1284.0,24.0,574.0,352.0,161932.0,06,001,430102,06001430102,49.42890901929894
7548.0,3879.0,200.0,2250.0,747.0,166042.0,06,001,430200,06001430200,48.608903020667725
4112.0,1949.0,37.0,1069.0,835.0,150735.0,06,001,430300,06001430300,52.60214007782101
2212.0,1156.0,63.0,655.0,185.0,190250.0,06,001,430400,06001430400,47.739602169981914
6480.0,1637.0,2273.0,1448.0,962.0,94811.0,06,001,430500,06001430500,74.73765432098766
6769.0,2720.0,737.0,2332.0,733.0,141513.0,06,001,430600,06001430600,59.81681193677058
4161.0,1613.0,199.0,1269.0,786.0,109479.0,06,001,430700,06001430700,61.235279980773846
5652.0,2193.0,31.0,2395.0,757.0,98563.0,06,001,430800,06001430800,61.1995753715499
5388.0,1626.0,401.0,1120.0,1661.0,95462.0,06,001,430900,06001430900,69.82182628062361
2947.0,806.0,356.0,1115.0,384.0,78584.0,06,001,431000,06001431000,72.65015269765863
3361.0,990.0,818.0,408.0,971.0,97100.0,06,001,431100,06001431100,70.54448080928294
5966.0,2343.0,762.0,772.0,1711.0,103864.0,06,001,431200,06001431200,60.72745558162923
3929.0,1349.0,725.0,468.0,1081.0,155096.0,06,001,432100,06001432100,65.6655637566811
4195.0,1058.0,643.0,553.0,1582.0,102500.0,06,001,432200,06001432200,74.77949940405244
4864.0,1190.0,557.0,1275.0,1328.0,125292.0,06,001,432300,06001432300,75.53453947368422
6603.0,960.0,353.0,1674.0,3122.0,82557.0,06,001,432400,06001432400,85.46115402089958
4985.0,972.0,191.0,2145.0,1382.0,89629.0,06,001,432501,06001432501,80.50150451354062
5171.0,556.0,773.0,1924.0,1692.0,88302.0,06,001,432502,06001432502,89.24772771224134
4082.0,1043.0,696.0,1046.0,1063.0,79227.0,06,001,432601,06001432601,74.44879960803527
3031.0,420.0,806.0,732.0,940.0,95051.0,06,001,432602,06001432602,86.14318706697459
2815.0,1405.0,155.0,601.0,556.0,107986.0,06,001,432700,06001432700,50.08880994671403
4345.0,1325.0,273.0,1440.0,940.0,131563.0,06,001,432800,06001432800,69.50517836593787
3871.0,1383.0,258.0,1282.0,653.0,92746.0,06,001,433000,06001433000,64.27279772668561
4443.0,387.0,430.0,2393.0,1026.0,110625.0,06,001,433102,06001433102,91.28966914247131
3699.0,546.0,560.0,767.0,1606.0,68201.0,06,001,433103,06001433103,85.23925385239254
3881.0,1165.0,909.0,212.0,1095.0,61156.0,06,001,433104,06001433104,69.98196341149189
8171.0,911.0,707.0,3431.0,2611.0,61605.0,06,001,433200,06001433200,88.85081385387346
7690.0,1559.0,46.0,3654.0,2078.0,104215.0,06,001,433300,06001433300,79.72691807542263
6174.0,856.0,502.0,3740.0,412.0,114427.0,06,001,433400,06001433400,86.1354065435698
4597.0,1153.0,10.0,2481.0,948.0,96953.0,06,001,433500,06001433500,74.91842505982163
5945.0,1733.0,323.0,1751.0,1393.0,66853.0,06,001,433600,06001433600,70.84945332211943
3376.0,327.0,84.0,657.0,1948.0,88712.0,06,001,433700,06001433700,90.31398104265402
3516.0,240.0,378.0,1053.0,1799.0,85596.0,06,001,433801,06001433801,93.1740614334471
4425.0,424.0,652.0,1866.0,1272.0,94208.0,06,001,433802,06001433802,90.4180790960452
7136.0,714.0,1698.0,949.0,3099.0,63265.0,06,001,433900,06001433900,89.99439461883408
5239.0,723.0,621.0,975.0,2776.0,53958.0,06,001,434000,06001434000,86.19965642298149
6409.0,1932.0,698.0,1440.0,1736.0,117708.0,06,001,435102,06001435102,69.8548915587455
8194.0,2578.0,583.0,3284.0,914.0,196970.0,06,001,435103,06001435103,68.5379546009275
6553.0,1003.0,667.0,2371.0,2127.0,102977.0,06,001,435104,06001435104,84.69403326720585
4870.0,1109.0,1040.0,1235.0,1191.0,128795.0,06,001,435200,06001435200,77.22792607802876
5144.0,1281.0,981.0,933.0,1411.0,84000.0,06,001,435300,06001435300,75.09720062208399
5231.0,1252.0,1140.0,958.0,1379.0,74464.0,06,001,435400,06001435400,76.06576180462626
4452.0,1159.0,352.0,469.0,2225.0,72601.0,06,001,435500,06001435500,73.96675651392633
5136.0,739.0,686.0,846.0,2555.0,71103.0,06,001,435601,06001435601,85.6113707165109
5337.0,1297.0,425.0,389.0,3075.0,82624.0,06,001,435602,06001435602,75.6979576541128
5172.0,1030.0,280.0,675.0,2731.0,96182.0,06,001,435700,06001435700,80.08507347254447
5760.0,1212.0,238.0,1934.0,2184.0,92567.0,06,001,435800,06001435800,78.95833333333333
5401.0,1458.0,92.0,2188.0,1475.0,102102.0,06,001,435900,06001435900,73.00499907424552
5104.0,1440.0,15.0,1251.0,2131.0,101438.0,06,001,436000,06001436000,71.78683385579937
